# tracer: nop
#
# entries-in-buffer/entries-written: 2647/2647   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-36697   [031] ...1. 136276.021807: kvm_tdp_mmu_spte_changed: as id 0 gfn 49 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021807: kvm_tdp_mmu_spte_changed: as id 0 gfn 4a level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021808: kvm_tdp_mmu_spte_changed: as id 0 gfn 4b level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021809: kvm_tdp_mmu_spte_changed: as id 0 gfn 4c level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021810: kvm_tdp_mmu_spte_changed: as id 0 gfn 4d level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021810: kvm_tdp_mmu_spte_changed: as id 0 gfn 4e level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021811: kvm_tdp_mmu_spte_changed: as id 0 gfn 4f level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021812: kvm_tdp_mmu_spte_changed: as id 0 gfn 50 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021813: kvm_tdp_mmu_spte_changed: as id 0 gfn 51 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021814: kvm_tdp_mmu_spte_changed: as id 0 gfn 52 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021814: kvm_tdp_mmu_spte_changed: as id 0 gfn 53 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021815: kvm_tdp_mmu_spte_changed: as id 0 gfn 54 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021816: kvm_tdp_mmu_spte_changed: as id 0 gfn 55 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021817: kvm_tdp_mmu_spte_changed: as id 0 gfn 56 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021817: kvm_tdp_mmu_spte_changed: as id 0 gfn 57 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021818: kvm_tdp_mmu_spte_changed: as id 0 gfn 58 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021819: kvm_tdp_mmu_spte_changed: as id 0 gfn 59 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021820: kvm_tdp_mmu_spte_changed: as id 0 gfn 5a level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021821: kvm_tdp_mmu_spte_changed: as id 0 gfn 5b level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021821: kvm_tdp_mmu_spte_changed: as id 0 gfn 5c level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021822: kvm_tdp_mmu_spte_changed: as id 0 gfn 5d level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021823: kvm_tdp_mmu_spte_changed: as id 0 gfn 5e level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021824: kvm_tdp_mmu_spte_changed: as id 0 gfn 5f level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021824: kvm_tdp_mmu_spte_changed: as id 0 gfn 60 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021825: kvm_tdp_mmu_spte_changed: as id 0 gfn 61 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021826: kvm_tdp_mmu_spte_changed: as id 0 gfn 62 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021827: kvm_tdp_mmu_spte_changed: as id 0 gfn 63 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021828: kvm_tdp_mmu_spte_changed: as id 0 gfn 64 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021828: kvm_tdp_mmu_spte_changed: as id 0 gfn 65 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021829: kvm_tdp_mmu_spte_changed: as id 0 gfn 66 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021830: kvm_tdp_mmu_spte_changed: as id 0 gfn 67 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021831: kvm_tdp_mmu_spte_changed: as id 0 gfn 68 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021831: kvm_tdp_mmu_spte_changed: as id 0 gfn 69 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021832: kvm_tdp_mmu_spte_changed: as id 0 gfn 6a level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021833: kvm_tdp_mmu_spte_changed: as id 0 gfn 6b level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021834: kvm_tdp_mmu_spte_changed: as id 0 gfn 6c level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021835: kvm_tdp_mmu_spte_changed: as id 0 gfn 6d level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021835: kvm_tdp_mmu_spte_changed: as id 0 gfn 6e level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021836: kvm_tdp_mmu_spte_changed: as id 0 gfn 6f level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021837: kvm_tdp_mmu_spte_changed: as id 0 gfn 70 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021838: kvm_tdp_mmu_spte_changed: as id 0 gfn 71 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021838: kvm_tdp_mmu_spte_changed: as id 0 gfn 72 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021839: kvm_tdp_mmu_spte_changed: as id 0 gfn 73 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021840: kvm_tdp_mmu_spte_changed: as id 0 gfn 74 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021841: kvm_tdp_mmu_spte_changed: as id 0 gfn 75 level 1 old_spte 0 new_spte 5a0
